"","WT_t0_","WT_t0.5_","chl1_t0_","chl1_t0.5_"
"AT1G19190",6.51961055111008,5.94878090053521,6.72444365668086,5.92778539637809
"AT1G21910",6.73742616428308,9.13334326025855,6.53595018874854,9.02324758726395
"AT5G49480",10.0228379330775,10.8479140613591,10.0861746430151,10.4636438163592
"AT4G05150",11.1343553126184,10.5736847084198,11.2508237560921,10.7915400948178
"AT5G26920",10.1088540321559,7.61884050677658,10.1018918396321,7.80193933223732
"AT1G19700",7.09220894223899,6.10547880689409,7.28927457730717,6.35197695915878
"AT4G28190",6.98885709076586,7.97641297585594,6.84814101086902,7.75455709958568
"AT3G52950",8.15134878636466,9.26830749643016,8.20262230361135,8.79010874010724
"AT1G08880",10.1084397607168,9.57026535689159,10.1886080421702,9.79159112679029
"AT3G54810",8.55696878294554,9.02872906318353,8.45069522211725,9.07342241111011
"AT1G52540",7.78576468469913,8.57283099828177,7.90866926940226,8.67667269905034
"AT1G10690",6.50763198921565,5.6203564261506,6.45528330074808,5.76459025762454
"AT5G13420",10.825583875821,11.8979740210035,10.8201122518635,11.5938544719075
"AT2G46620",8.96955334667602,10.0690426790423,8.97651731064904,9.45070503945189
"AT4G37790",7.62307588559114,8.47630303519626,7.78820771481868,8.63556365950717
"AT4G31470",7.54190251349019,6.94580408906525,7.43579314940701,6.72825005884529
"AT2G47460",7.02712478600252,6.07680361527476,6.96978240480439,6.09818342056753
"AT3G47520",9.92466723098646,10.4746231756561,9.88829489415409,10.2617134350456
"AT4G33420",9.41883138643255,10.6727882846239,9.35438674357993,10.6466956272208
"AT5G49100",5.69787266885859,6.507794599227,5.86910692521362,6.39124659104971
"AT1G77280",7.29572149142075,7.05468908645981,7.42198627971696,6.84854074408607
"AT1G67750",7.54126787330572,6.99822035778606,7.6534328405369,6.96224142899017
"AT5G58900",7.67513889130973,9.65379136145743,7.82486351477972,9.36054373072164
"AT2G21210",3.27225494383291,4.49600071548327,3.20352617021674,3.68873291947069
"AT2G34830",6.68737823910302,7.84497312277943,6.69281248125944,7.63471837502914
"AT1G54120",7.6469944890768,9.21930434499134,7.65112412766875,8.63990550838289
"AT1G70790",7.27181676433872,8.13961852218121,7.40630032428503,7.91952119494254
"AT1G55790",8.49386281116084,7.00274764876155,8.62335623115192,7.57343559961608
"AT1G68710",7.99522989178638,6.76581596571012,8.05329712300904,6.75596459964828
"AT1G19050",7.97761509171274,9.35017874511767,8.16143577536194,9.34568344388173
"AT5G10830",8.884708947213,9.42903641970192,8.7883078623876,9.42271760945091
"AT1G49560",7.07250328195214,6.2763507316234,7.0719255434184,6.23432648468746
"AT1G07230",8.30588659716561,7.80428294677876,8.37286108379809,7.91922294011632
"AT4G30270",8.03798001537408,10.1091861799881,7.88291919854556,10.0998430182612
"AT1G80380",7.37796835242225,11.6937359109303,7.50673963815655,10.5368140404384
"AT4G31000",5.41811539284268,7.0110897725462,5.44873336031052,6.98729871154821
"AT4G15680",5.90081767130178,7.57539199494735,6.06188666695914,7.13774147894421
"AT5G45000",6.88425456573343,6.43137247590971,7.06525116425475,6.4107337100703
"AT3G07360",7.89637310510241,8.84589376776147,8.0035298537839,8.63912104200786
"AT5G61340",9.48571182226155,8.3494161044836,9.47076881297681,8.44754364177017
"AT3G50900",9.31573787459377,10.5885964653573,9.35319030160773,10.0817041715451
"AT1G79320",8.52765658789029,7.72698145164554,8.62819727275091,7.64665755378722
"AT3G21070",7.79074633435105,7.22987253822612,7.74575599982059,7.21403572444805
"AT1G23480",7.31415234767598,8.64484796889226,7.2905504028511,8.51916191110063
"AT5G67080",4.73064963616145,6.69499862233966,4.59397458038728,5.8673571670034
"AT4G17670",9.01707266367331,7.02346841275321,8.91451254669496,7.70635933599829
"AT3G02550",9.15076431160216,7.60965338088472,9.17270508254679,7.95528432941262
"AT4G11020",4.02792332765271,5.51586793929092,3.85439346530168,5.29529438931172
"AT1G79970",8.62295533440659,8.13886980537121,8.57722826971789,8.15124794473113
"AT5G41810",9.15818109122757,8.26138497790158,9.18913455598059,8.53475970238225
"AT1G66450",6.22676538987694,6.95759216611837,6.33684910627347,6.50000141397632
"AT2G41830",6.84031651282801,7.53463903994681,6.8076448553528,7.60473527138401
"AT2G22200",4.03143404564497,5.40097308825609,4.11954886529613,5.20197359600777
"AT5G50900",9.09554766926286,9.68649641036505,9.03735107612445,9.5688081316351
"AT5G64850",6.90157114091015,7.80971309160269,7.15154512913151,7.91809725243878
"AT1G06760",10.6842542429544,10.0741133727518,10.6816178123508,10.1710090094595
"AT4G31540",7.17065537700075,7.73294783683496,7.13897916125685,7.75881080105518
"AT1G22650",4.75403950900772,6.07905792440371,4.77164635446525,5.73675904455409
"AT5G09800",6.60638519850414,9.33323727242573,6.78129152103696,8.93644556550003
"AT5G43040",6.58773686812072,7.38234198199729,6.50143648944425,7.38300387145879
"AT5G41000",6.99915802128857,6.41218656773781,6.94819320267254,6.55182471942955
"AT1G22530",10.0920549037662,10.9367945887514,9.9097550836527,10.8393265549912
"AT1G61660",6.48691428895188,7.51360731743029,6.48401002139254,7.25687970788709
"AT2G27080",9.19135139259888,10.5204343803358,9.09472157371219,10.5831501663799
"AT4G15800",10.2832056224245,11.2021251191563,10.2957997170963,10.9762939241263
"AT4G27900",7.58479781025544,8.65538984831611,7.70683359068112,8.20824601152599
"AT5G48370",7.10720326695315,6.63846709223044,7.11848316863574,6.60603109843312
"AT1G77640",6.13234450747844,6.7618359920429,6.04797458203955,6.83521488419194
"AT5G06800",7.23079378399845,7.86508366990024,7.22027756595681,7.39187843701971
"AT1G74940",9.37619346451779,8.46008063791649,9.36081770870493,8.82119724267738
"AT5G09980",8.142961315355,8.93066677362073,7.94045006539968,8.74068028251008
"AT3G56620",6.92434797540283,6.08922888263889,7.00836165949815,6.20144813480242
"AT4G17460",9.1164253473675,9.93245739497793,9.01821924390163,9.92096426896522
"AT1G64590",11.5516625227273,9.52079114698742,11.6459031220563,10.2051225986743
"AT4G26970",10.9575130502442,11.6525984846343,10.9418324686215,11.3860785381255
"AT4G36040",10.7486376037429,12.0999109858422,10.7981467274759,11.8881949605807
"AT1G59740",6.2826197661853,7.85425026447894,6.11877042045326,7.2850404520311
"AT3G03040",6.7121509916323,7.44894989366295,6.81520460701591,7.16490539427652
"AT5G04840",6.29862024367054,7.54714706702721,6.23535056438518,7.3325561159408
"AT2G01450",8.67054603009983,9.71487781125784,8.6079172493425,9.56312982386483
"AT2G02680",7.34504746675564,9.51004049962344,7.19299160801153,9.32859602442741
"AT3G05150",7.0659698607876,7.4936569215868,6.88393765807666,7.47324002303349
"AT1G34370",10.2853136935578,10.7586522885517,10.3455022642249,10.7740885375177
"AT5G09890",9.37363075058479,9.72440527566525,9.27531323612845,9.74313764110384
"AT2G45830",6.85586869737962,7.5220241852288,6.88653743199768,7.55849125720684
"AT5G19110",9.53570846753111,10.310855151116,9.34591952940539,10.4165038297313
"AT5G54530",6.51784247186841,5.87742581539492,6.68757284598834,5.87518880726382
"AT3G45960",4.49962815702462,7.81409431950729,4.51282193243797,7.68909275106464
"AT4G17550",7.33929864016148,8.05409836166785,7.39352590830896,7.79355826028067
"AT5G42990",7.8205490666842,8.79638989824971,7.93237092786069,8.4344104572596
"AT1G68500",5.8651716023854,7.18541276914864,5.77688657617268,6.67912901423285
"AT5G14000",7.17997587288822,7.82806965901697,7.28156054844794,7.75594532178543
"AT4G34860",7.92303047906595,8.58010850096036,7.86032419355924,8.20532001058613
"AT4G39070",6.33199031749337,7.00016826291887,6.29425646748584,6.96170324543341
"AT4G39400",8.7426511685059,9.37991049941826,8.73545658610252,9.42292956610524
"AT1G32920",9.55230205143827,11.1226110319185,9.38317898859301,10.8311632298358
"AT1G24625",8.30138907368487,7.80313302904636,8.25949014604382,7.80022870950735
"AT4G30110",8.20694171014107,9.38948287596291,8.15313398177245,9.07344875351117
"AT1G02810",8.50791759667357,9.62907260055995,8.52955183350567,9.81778801274401
"AT3G10190",8.64435470443924,7.86980998771428,8.65710495637818,8.03101515728411
"AT1G60710",9.88643756118076,10.3385454368631,9.93462528054462,10.1796811072772
"AT4G35320",6.57539137099005,7.1599203186086,6.58696505443776,7.10639184377234
"AT4G02180",5.60327752815134,6.33092994133558,5.56580496466706,6.24427450708972
"AT4G34740",7.10222420707844,7.7238909721912,6.97150626933132,7.23470757926961
"AT1G48690",6.83066530214955,6.29782763043778,6.93255825147581,6.28004368822662
"AT5G01720",8.08100907409792,6.79153855347665,8.11002067222413,6.91662754132773
"AT5G44210",6.33103917541942,5.52141941481086,6.39310519002445,5.77193010700377
"AT3G29760",7.13374982426693,8.02392963938491,7.16825710659223,7.47082258346011
"AT2G22470",10.0470392208829,10.7398758487791,9.94214195350081,10.7196990327313
"AT4G13340",6.892978419577,8.38670734618447,6.90549699124156,8.34751591654297
"AT3G54790",7.56042561468882,7.1468014823103,7.510520111187,7.07799287191152
"AT3G14205",7.96237768392748,8.43767941571186,7.84973603110979,8.27151179509203
"AT3G45680",7.72253908662653,6.94951925708627,7.64362275988109,6.84984617829256
"AT1G12200",9.3989171554032,9.97505319315537,9.31294402760359,9.95797815848935
"AT3G47160",10.1400826474898,9.55131922478055,10.2547017747494,9.64152784432572
"AT1G23060",6.46073052912322,5.62033335172082,6.51763639580358,5.69030108357999
"AT3G48360",4.41584614918957,10.3258836677536,4.51406258653196,9.30267642568622
"AT5G15230",11.760800770798,11.3069904415715,11.7675807443701,11.3333619828541
"AT5G02560",8.32756320846148,8.07797266310138,8.49177284486965,7.98333108105625
"AT1G74680",8.18027205967917,7.61814155821339,8.07517415203639,7.76856755865016
"AT4G01840",5.41913727569428,6.1406146976603,5.58202530439337,6.08171815284813
"AT3G56000",5.84561155357501,6.65071167824566,5.81502973971097,6.71168540386066
"AT1G69040",7.44073830859176,8.15969377844457,7.28021486845116,8.12878460097084
"AT5G15330",5.60403658186514,7.19309028648921,5.5969208340614,7.0064035332217
"AT5G57000",6.98766431123019,7.70972908756738,7.22792595316407,7.69759174875467
"AT3G61900",6.00564247338057,5.37967095993892,6.16452563608645,5.45612275377817
"AT2G28690",6.30360983958773,7.33133596543821,6.29566145694649,6.83777372789752
"AT2G19800",8.69550217572749,10.3029547347495,8.73580625089427,10.3794498265709
"AT3G58760",6.76379162308874,7.44002576047661,6.75632125926724,7.20664161572391
"AT4G27650",8.23591418444386,8.59762148872796,8.23123150752298,8.57525766554045
"AT4G02920",8.21208057782833,9.93192595514645,8.29204035042568,9.0806688314691
"AT1G66180",9.04193752988263,10.0270998882147,8.97271571852533,10.2245426284446
"AT1G30270",8.59059902802344,9.33498788825348,8.60052848241843,9.07366383650694
"AT4G25810",6.91314403234959,9.59669602915277,6.75232784548923,9.35062506467497
"AT1G47400",6.59648878068887,6.04118690948371,6.8373286433618,6.14677607511578
